[29-Sep-2020 15:34:44 UTC] PHP Parse error:  syntax error, unexpected ':', expecting ')' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 5
[29-Sep-2020 15:44:45 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 15
[29-Sep-2020 15:46:46 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 15
[29-Sep-2020 15:48:46 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 15
[29-Sep-2020 15:50:47 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 15
[29-Sep-2020 15:52:47 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 15
[29-Sep-2020 15:54:47 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 15
[29-Sep-2020 15:56:47 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 15
[29-Sep-2020 15:59:11 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 15
[29-Sep-2020 18:57:17 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 15
[29-Sep-2020 18:58:24 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in /Users/satvir/Documents/web/juno/wordpress/fccwordpress/app/public/wp-content/themes/followandrew/functions.php on line 15
